ID,P.Value,logFC,Gene.symbol
224349_at,0.00933731,2.43268318,
215482_s_at,0.00934581,-2.38079832,EIF2B4
238820_at,0.00935362,-1.77814579,TMEM229B
1560642_at,0.00935778,-1.88215109,
1553799_at,0.00936516,1.91229036,FAM227B
207326_at,0.00941627,-1.92092234,BTC
235590_at,0.00941907,1.99256465,SLF2
1561451_a_at,0.00942056,2.19600168,LOC101928551
220448_at,0.00946099,2.10364379,KCNK12
208190_s_at,0.00949269,1.88879098,LSR
1563035_x_at,0.00950456,1.31173978,GPD1
207615_s_at,0.00950594,-2.10861746,GAS8-AS1
230687_at,0.00952255,-1.4117488,SLC13A3
204163_at,0.00952344,-2.44347355,EMILIN1
211636_at,0.00953491,-2.41566786,LOC102723407///IGHV4-31///IGHM///IGHG4///IGHG1///IGHA2///IGHA1
207456_at,0.00957492,-1.98822874,HNF4G
244570_at,0.0096113,1.86720391,LOC101928433
228357_at,0.00962424,2.39107948,UNK
1552991_at,0.00963042,-2.58367898,OR5P2
225689_at,0.00963788,-1.8741714,POMGNT2
236111_at,0.00968978,2.13367543,
230678_at,0.00969888,2.18745274,RGS5
210794_s_at,0.00970172,-2.82890561,MEG3
1557104_at,0.00972371,-2.25661343,ZSCAN30
242217_s_at,0.00974318,-1.73474711,FBRS
229549_at,0.00976232,-3.03711634,CALU
1559839_at,0.00977483,-2.45834169,TBX18
